時点,地域コード,県名,ごみ総排出量（総量）【ｔ】
1999年度,19000,山梨県,313041
2000年度,19000,山梨県,324994
2001年度,19000,山梨県,328906
2002年度,19000,山梨県,332440
2003年度,19000,山梨県,333758
2004年度,19000,山梨県,332690
2005年度,19000,山梨県,347411
2006年度,19000,山梨県,349458
2007年度,19000,山梨県,339311
2008年度,19000,山梨県,324635
2009年度,19000,山梨県,320496
2010年度,19000,山梨県,315915
2011年度,19000,山梨県,316295
2012年度,19000,山梨県,314192
2013年度,19000,山梨県,310438
2014年度,19000,山梨県,310682
2015年度,19000,山梨県,311035
2016年度,19000,山梨県,306318
2017年度,19000,山梨県,296717
2018年度,19000,山梨県,299168
2019年度,19000,山梨県,298771
1999年度,20000,長野県,761891
2000年度,20000,長野県,798820
2001年度,20000,長野県,831003
2002年度,20000,長野県,831450
2003年度,20000,長野県,812332
2004年度,20000,長野県,791070
2005年度,20000,長野県,790265
2006年度,20000,長野県,777255
2007年度,20000,長野県,760233
2008年度,20000,長野県,721684
2009年度,20000,長野県,698859
2010年度,20000,長野県,679861
2011年度,20000,長野県,683249
2012年度,20000,長野県,681372
2013年度,20000,長野県,667111
2014年度,20000,長野県,657316
2015年度,20000,長野県,653520
2016年度,20000,長野県,637955
2017年度,20000,長野県,630254
2018年度,20000,長野県,621829
2019年度,20000,長野県,623271
1999年度,16000,富山県,385185
2000年度,16000,富山県,396878
2001年度,16000,富山県,398244
2002年度,16000,富山県,395373
2003年度,16000,富山県,400688
2004年度,16000,富山県,403686
2005年度,16000,富山県,435959
2006年度,16000,富山県,436112
2007年度,16000,富山県,418756
2008年度,16000,富山県,407158
2009年度,16000,富山県,388737
2010年度,16000,富山県,382715
2011年度,16000,富山県,402292
2012年度,16000,富山県,410709
2013年度,16000,富山県,405329
2014年度,16000,富山県,413128
2015年度,16000,富山県,410200
2016年度,16000,富山県,407807
2017年度,16000,富山県,407705
2018年度,16000,富山県,406000
2019年度,16000,富山県,404812
1999年度,17000,石川県,483528
2000年度,17000,石川県,492525
2001年度,17000,石川県,480324
2002年度,17000,石川県,485579
2003年度,17000,石川県,487782
2004年度,17000,石川県,476972
2005年度,17000,石川県,495160
2006年度,17000,石川県,496778
2007年度,17000,石川県,732407
2008年度,17000,石川県,468518
2009年度,17000,石川県,431058
2010年度,17000,石川県,423800
2011年度,17000,石川県,424914
2012年度,17000,石川県,422358
2013年度,17000,石川県,422364
2014年度,17000,石川県,417629
2015年度,17000,石川県,421269
2016年度,17000,石川県,414689
2017年度,17000,石川県,406653
2018年度,17000,石川県,393629
2019年度,17000,石川県,389383
1999年度,18000,福井県,284616
2000年度,18000,福井県,298043
2001年度,18000,福井県,299829
2002年度,18000,福井県,299249
2003年度,18000,福井県,294430
2004年度,18000,福井県,303165
2005年度,18000,福井県,318447
2006年度,18000,福井県,319396
2007年度,18000,福井県,308524
2008年度,18000,福井県,294392
2009年度,18000,福井県,289680
2010年度,18000,福井県,286004
2011年度,18000,福井県,290136
2012年度,18000,福井県,289940
2013年度,18000,福井県,285639
2014年度,18000,福井県,280103
2015年度,18000,福井県,277789
2016年度,18000,福井県,278184
2017年度,18000,福井県,283318
2018年度,18000,福井県,287646
2019年度,18000,福井県,275483
1999年度,21000,岐阜県,693235
2000年度,21000,岐阜県,708754
2001年度,21000,岐阜県,728570
2002年度,21000,岐阜県,732158
2003年度,21000,岐阜県,732019
2004年度,21000,岐阜県,734156
2005年度,21000,岐阜県,807372
2006年度,21000,岐阜県,812943
2007年度,21000,岐阜県,789681
2008年度,21000,岐阜県,767948
2009年度,21000,岐阜県,736104
2010年度,21000,岐阜県,711888
2011年度,21000,岐阜県,711122
2012年度,21000,岐阜県,702404
2013年度,21000,岐阜県,696217
2014年度,21000,岐阜県,680621
2015年度,21000,岐阜県,673852
2016年度,21000,岐阜県,658435
2017年度,21000,岐阜県,654293
2018年度,21000,岐阜県,652087
2019年度,21000,岐阜県,653280
1999年度,22000,静岡県,1391043
2000年度,22000,静岡県,1448504
2001年度,22000,静岡県,1437603
2002年度,22000,静岡県,1454749
2003年度,22000,静岡県,1460635
2004年度,22000,静岡県,1447743
2005年度,22000,静岡県,1544983
2006年度,22000,静岡県,1530792
2007年度,22000,静岡県,1507210
2008年度,22000,静岡県,1447340
2009年度,22000,静岡県,1395147
2010年度,22000,静岡県,1341568
2011年度,22000,静岡県,1332970
2012年度,22000,静岡県,1318353
2013年度,22000,静岡県,1273877
2014年度,22000,静岡県,1248140
2015年度,22000,静岡県,1236820
2016年度,22000,静岡県,1215286
2017年度,22000,静岡県,1200491
2018年度,22000,静岡県,1205161
2019年度,22000,静岡県,1201647
1999年度,23000,愛知県,2704680
2000年度,23000,愛知県,2700249
2001年度,23000,愛知県,2644827
2002年度,23000,愛知県,2679436
2003年度,23000,愛知県,2715605
2004年度,23000,愛知県,2678495
2005年度,23000,愛知県,2964600
2006年度,23000,愛知県,2942574
2007年度,23000,愛知県,2893540
2008年度,23000,愛知県,2799582
2009年度,23000,愛知県,2668558
2010年度,23000,愛知県,2607242
2011年度,23000,愛知県,2599435
2012年度,23000,愛知県,2581137
2013年度,23000,愛知県,2572076
2014年度,23000,愛知県,2551069
2015年度,23000,愛知県,2549821
2016年度,23000,愛知県,2547869
2017年度,23000,愛知県,2522256
2018年度,23000,愛知県,2514869
2019年度,23000,愛知県,2536734
1999年度,24000,三重県,823324
2000年度,24000,三重県,779419
2001年度,24000,三重県,786340
2002年度,24000,三重県,787969
2003年度,24000,三重県,779511
2004年度,24000,三重県,774279
2005年度,24000,三重県,774590
2006年度,24000,三重県,765595
2007年度,24000,三重県,747832
2008年度,24000,三重県,711464
2009年度,24000,三重県,680084
2010年度,24000,三重県,653918
2011年度,24000,三重県,654142
2012年度,24000,三重県,659502
2013年度,24000,三重県,656900
2014年度,24000,三重県,650102
2015年度,24000,三重県,644756
2016年度,24000,三重県,636393
2017年度,24000,三重県,629772
2018年度,24000,三重県,629059
2019年度,24000,三重県,628172
