時点,地域コード,地域,ごみ総排出量（総量）【ｔ】,緯度,軽度
1999年度,1000,北海道,2842745,43.06417,141.34694
2000年度,1000,北海道,2822870,43.06417,141.34694
2001年度,1000,北海道,2754612,43.06417,141.34694
2002年度,1000,北海道,2719297,43.06417,141.34694
2003年度,1000,北海道,2613646,43.06417,141.34694
2004年度,1000,北海道,2533185,43.06417,141.34694
2005年度,1000,北海道,2522443,43.06417,141.34694
2006年度,1000,北海道,2455751,43.06417,141.34694
2007年度,1000,北海道,2328312,43.06417,141.34694
2008年度,1000,北海道,2182092,43.06417,141.34694
2009年度,1000,北海道,2099594,43.06417,141.34694
2010年度,1000,北海道,2060599,43.06417,141.34694
2011年度,1000,北海道,2023704,43.06417,141.34694
2012年度,1000,北海道,2012577,43.06417,141.34694
2013年度,1000,北海道,2019207,43.06417,141.34694
2014年度,1000,北海道,1963290,43.06417,141.34694
2015年度,1000,北海道,1944416,43.06417,141.34694
2016年度,1000,北海道,1902079,43.06417,141.34694
2017年度,1000,北海道,1873027,43.06417,141.34694
2018年度,1000,北海道,1875810,43.06417,141.34694
2019年度,1000,北海道,1850519,43.06417,141.34694
1999年度,2000,青森県,705782,40.82444,140.74
2000年度,2000,青森県,698460,40.82444,140.74
2001年度,2000,青森県,673111,40.82444,140.74
2002年度,2000,青森県,659358,40.82444,140.74
2003年度,2000,青森県,631044,40.82444,140.74
2004年度,2000,青森県,599287,40.82444,140.74
2005年度,2000,青森県,611029,40.82444,140.74
2006年度,2000,青森県,601191,40.82444,140.74
2007年度,2000,青森県,582532,40.82444,140.74
2008年度,2000,青森県,548574,40.82444,140.74
2009年度,2000,青森県,541203,40.82444,140.74
2010年度,2000,青森県,536226,40.82444,140.74
2011年度,2000,青森県,528994,40.82444,140.74
2012年度,2000,青森県,539977,40.82444,140.74
2013年度,2000,青森県,534819,40.82444,140.74
2014年度,2000,青森県,517384,40.82444,140.74
2015年度,2000,青森県,503390,40.82444,140.74
2016年度,2000,青森県,486063,40.82444,140.74
2017年度,2000,青森県,479621,40.82444,140.74
2018年度,2000,青森県,473715,40.82444,140.74
2019年度,2000,青森県,469430,40.82444,140.74
1999年度,3000,岩手県,476926,39.70361,141.1525
2000年度,3000,岩手県,480649,39.70361,141.1525
2001年度,3000,岩手県,483201,39.70361,141.1525
2002年度,3000,岩手県,494010,39.70361,141.1525
2003年度,3000,岩手県,498852,39.70361,141.1525
2004年度,3000,岩手県,497917,39.70361,141.1525
2005年度,3000,岩手県,521499,39.70361,141.1525
2006年度,3000,岩手県,512448,39.70361,141.1525
2007年度,3000,岩手県,493227,39.70361,141.1525
2008年度,3000,岩手県,475534,39.70361,141.1525
2009年度,3000,岩手県,455216,39.70361,141.1525
2010年度,3000,岩手県,446281,39.70361,141.1525
2011年度,3000,岩手県,449111,39.70361,141.1525
2012年度,3000,岩手県,455076,39.70361,141.1525
2013年度,3000,岩手県,452666,39.70361,141.1525
2014年度,3000,岩手県,449548,39.70361,141.1525
2015年度,3000,岩手県,440812,39.70361,141.1525
2016年度,3000,岩手県,430106,39.70361,141.1525
2017年度,3000,岩手県,426270,39.70361,141.1525
2018年度,3000,岩手県,424967,39.70361,141.1525
2019年度,3000,岩手県,420164,39.70361,141.1525
1999年度,4000,宮城県,956707,38.26889,140.87194
2000年度,4000,宮城県,1008096,38.26889,140.87194
2001年度,4000,宮城県,969204,38.26889,140.87194
2002年度,4000,宮城県,942128,38.26889,140.87194
2003年度,4000,宮城県,1141826,38.26889,140.87194
2004年度,4000,宮城県,950603,38.26889,140.87194
2005年度,4000,宮城県,966739,38.26889,140.87194
2006年度,4000,宮城県,953596,38.26889,140.87194
2007年度,4000,宮城県,914779,38.26889,140.87194
2008年度,4000,宮城県,874046,38.26889,140.87194
2009年度,4000,宮城県,838454,38.26889,140.87194
2010年度,4000,宮城県,817368,38.26889,140.87194
2011年度,4000,宮城県,887253,38.26889,140.87194
2012年度,4000,宮城県,866438,38.26889,140.87194
2013年度,4000,宮城県,865164,38.26889,140.87194
2014年度,4000,宮城県,856499,38.26889,140.87194
2015年度,4000,宮城県,851108,38.26889,140.87194
2016年度,4000,宮城県,836852,38.26889,140.87194
2017年度,4000,宮城県,840570,38.26889,140.87194
2018年度,4000,宮城県,825806,38.26889,140.87194
2019年度,4000,宮城県,819659,38.26889,140.87194
1999年度,5000,秋田県,464036,39.71861,140.1025
2000年度,5000,秋田県,474374,39.71861,140.1025
2001年度,5000,秋田県,465495,39.71861,140.1025
2002年度,5000,秋田県,467585,39.71861,140.1025
2003年度,5000,秋田県,470773,39.71861,140.1025
2004年度,5000,秋田県,466373,39.71861,140.1025
2005年度,5000,秋田県,470747,39.71861,140.1025
2006年度,5000,秋田県,471685,39.71861,140.1025
2007年度,5000,秋田県,438209,39.71861,140.1025
2008年度,5000,秋田県,411218,39.71861,140.1025
2009年度,5000,秋田県,399888,39.71861,140.1025
2010年度,5000,秋田県,396691,39.71861,140.1025
2011年度,5000,秋田県,390521,39.71861,140.1025
2012年度,5000,秋田県,395654,39.71861,140.1025
2013年度,5000,秋田県,392034,39.71861,140.1025
2014年度,5000,秋田県,386032,39.71861,140.1025
2015年度,5000,秋田県,380228,39.71861,140.1025
2016年度,5000,秋田県,370216,39.71861,140.1025
2017年度,5000,秋田県,364954,39.71861,140.1025
2018年度,5000,秋田県,361443,39.71861,140.1025
2019年度,5000,秋田県,359010,39.71861,140.1025
1999年度,6000,山形県,386987,38.24056,140.36333
2000年度,6000,山形県,405961,38.24056,140.36333
2001年度,6000,山形県,407626,38.24056,140.36333
2002年度,6000,山形県,413411,38.24056,140.36333
2003年度,6000,山形県,417450,38.24056,140.36333
2004年度,6000,山形県,396132,38.24056,140.36333
2005年度,6000,山形県,435097,38.24056,140.36333
2006年度,6000,山形県,431262,38.24056,140.36333
2007年度,6000,山形県,415269,38.24056,140.36333
2008年度,6000,山形県,397181,38.24056,140.36333
2009年度,6000,山形県,392198,38.24056,140.36333
2010年度,6000,山形県,378210,38.24056,140.36333
2011年度,6000,山形県,377425,38.24056,140.36333
2012年度,6000,山形県,386775,38.24056,140.36333
2013年度,6000,山形県,387237,38.24056,140.36333
2014年度,6000,山形県,384879,38.24056,140.36333
2015年度,6000,山形県,382912,38.24056,140.36333
2016年度,6000,山形県,375379,38.24056,140.36333
2017年度,6000,山形県,371222,38.24056,140.36333
2018年度,6000,山形県,365370,38.24056,140.36333
2019年度,6000,山形県,364842,38.24056,140.36333
1999年度,7000,福島県,799796,37.75,140.46778
2000年度,7000,福島県,811412,37.75,140.46778
2001年度,7000,福島県,823541,37.75,140.46778
2002年度,7000,福島県,823080,37.75,140.46778
2003年度,7000,福島県,809280,37.75,140.46778
2004年度,7000,福島県,791655,37.75,140.46778
2005年度,7000,福島県,838396,37.75,140.46778
2006年度,7000,福島県,836661,37.75,140.46778
2007年度,7000,福島県,813723,37.75,140.46778
2008年度,7000,福島県,781478,37.75,140.46778
2009年度,7000,福島県,753096,37.75,140.46778
2010年度,7000,福島県,733364,37.75,140.46778
2011年度,7000,福島県,782473,37.75,140.46778
2012年度,7000,福島県,790574,37.75,140.46778
2013年度,7000,福島県,777051,37.75,140.46778
2014年度,7000,福島県,769848,37.75,140.46778
2015年度,7000,福島県,760627,37.75,140.46778
2016年度,7000,福島県,742598,37.75,140.46778
2017年度,7000,福島県,737242,37.75,140.46778
2018年度,7000,福島県,721322,37.75,140.46778
2019年度,7000,福島県,720595,37.75,140.46778
1999年度,8000,茨城県,1084236,36.34139,140.44667
2000年度,8000,茨城県,1101070,36.34139,140.44667
2001年度,8000,茨城県,1092864,36.34139,140.44667
2002年度,8000,茨城県,1091724,36.34139,140.44667
2003年度,8000,茨城県,1085717,36.34139,140.44667
2004年度,8000,茨城県,1064318,36.34139,140.44667
2005年度,8000,茨城県,1127287,36.34139,140.44667
2006年度,8000,茨城県,1114699,36.34139,140.44667
2007年度,8000,茨城県,1092073,36.34139,140.44667
2008年度,8000,茨城県,1060441,36.34139,140.44667
2009年度,8000,茨城県,1032747,36.34139,140.44667
2010年度,8000,茨城県,1028743,36.34139,140.44667
2011年度,8000,茨城県,1091541,36.34139,140.44667
2012年度,8000,茨城県,1094671,36.34139,140.44667
2013年度,8000,茨城県,1094551,36.34139,140.44667
2014年度,8000,茨城県,1092019,36.34139,140.44667
2015年度,8000,茨城県,1092072,36.34139,140.44667
2016年度,8000,茨城県,1061291,36.34139,140.44667
2017年度,8000,茨城県,1061143,36.34139,140.44667
2018年度,8000,茨城県,1060364,36.34139,140.44667
2019年度,8000,茨城県,1051103,36.34139,140.44667
1999年度,9000,栃木県,721767,36.56583,139.88361
2000年度,9000,栃木県,744241,36.56583,139.88361
2001年度,9000,栃木県,754864,36.56583,139.88361
2002年度,9000,栃木県,774506,36.56583,139.88361
2003年度,9000,栃木県,775398,36.56583,139.88361
2004年度,9000,栃木県,764386,36.56583,139.88361
2005年度,9000,栃木県,787219,36.56583,139.88361
2006年度,9000,栃木県,784896,36.56583,139.88361
2007年度,9000,栃木県,756220,36.56583,139.88361
2008年度,9000,栃木県,730076,36.56583,139.88361
2009年度,9000,栃木県,702973,36.56583,139.88361
2010年度,9000,栃木県,687152,36.56583,139.88361
2011年度,9000,栃木県,699067,36.56583,139.88361
2012年度,9000,栃木県,706129,36.56583,139.88361
2013年度,9000,栃木県,690098,36.56583,139.88361
2014年度,9000,栃木県,680063,36.56583,139.88361
2015年度,9000,栃木県,678303,36.56583,139.88361
2016年度,9000,栃木県,666562,36.56583,139.88361
2017年度,9000,栃木県,667980,36.56583,139.88361
2018年度,9000,栃木県,663761,36.56583,139.88361
2019年度,9000,栃木県,660826,36.56583,139.88361
1999年度,10000,群馬県,786146,36.39111,139.06083
2000年度,10000,群馬県,806774,36.39111,139.06083
2001年度,10000,群馬県,824251,36.39111,139.06083
2002年度,10000,群馬県,829220,36.39111,139.06083
2003年度,10000,群馬県,840775,36.39111,139.06083
2004年度,10000,群馬県,810270,36.39111,139.06083
2005年度,10000,群馬県,853228,36.39111,139.06083
2006年度,10000,群馬県,867740,36.39111,139.06083
2007年度,10000,群馬県,851070,36.39111,139.06083
2008年度,10000,群馬県,829085,36.39111,139.06083
2009年度,10000,群馬県,803030,36.39111,139.06083
2010年度,10000,群馬県,789979,36.39111,139.06083
2011年度,10000,群馬県,788068,36.39111,139.06083
2012年度,10000,群馬県,785528,36.39111,139.06083
2013年度,10000,群馬県,775107,36.39111,139.06083
2014年度,10000,群馬県,772692,36.39111,139.06083
2015年度,10000,群馬県,756990,36.39111,139.06083
2016年度,10000,群馬県,733797,36.39111,139.06083
2017年度,10000,群馬県,717256,36.39111,139.06083
2018年度,10000,群馬県,713919,36.39111,139.06083
2019年度,10000,群馬県,713518,36.39111,139.06083
1999年度,11000,埼玉県,2488456,35.85694,139.64889
2000年度,11000,埼玉県,2557483,35.85694,139.64889
2001年度,11000,埼玉県,2572962,35.85694,139.64889
2002年度,11000,埼玉県,2590395,35.85694,139.64889
2003年度,11000,埼玉県,2589455,35.85694,139.64889
2004年度,11000,埼玉県,2530118,35.85694,139.64889
2005年度,11000,埼玉県,2727531,35.85694,139.64889
2006年度,11000,埼玉県,2723746,35.85694,139.64889
2007年度,11000,埼玉県,2647837,35.85694,139.64889
2008年度,11000,埼玉県,2558141,35.85694,139.64889
2009年度,11000,埼玉県,2467236,35.85694,139.64889
2010年度,11000,埼玉県,2418612,35.85694,139.64889
2011年度,11000,埼玉県,2435270,35.85694,139.64889
2012年度,11000,埼玉県,2424962,35.85694,139.64889
2013年度,11000,埼玉県,2414255,35.85694,139.64889
2014年度,11000,埼玉県,2392053,35.85694,139.64889
2015年度,11000,埼玉県,2368098,35.85694,139.64889
2016年度,11000,埼玉県,2322937,35.85694,139.64889
2017年度,11000,埼玉県,2304264,35.85694,139.64889
2018年度,11000,埼玉県,2307082,35.85694,139.64889
2019年度,11000,埼玉県,2328598,35.85694,139.64889
1999年度,12000,千葉県,2205128,35.60472,140.12333
2000年度,12000,千葉県,2288740,35.60472,140.12333
2001年度,12000,千葉県,2300730,35.60472,140.12333
2002年度,12000,千葉県,2319418,35.60472,140.12333
2003年度,12000,千葉県,2320579,35.60472,140.12333
2004年度,12000,千葉県,2284926,35.60472,140.12333
2005年度,12000,千葉県,2477816,35.60472,140.12333
2006年度,12000,千葉県,2459632,35.60472,140.12333
2007年度,12000,千葉県,2401983,35.60472,140.12333
2008年度,12000,千葉県,2313181,35.60472,140.12333
2009年度,12000,千葉県,2239714,35.60472,140.12333
2010年度,12000,千葉県,2197401,35.60472,140.12333
2011年度,12000,千葉県,2202659,35.60472,140.12333
2012年度,12000,千葉県,2190452,35.60472,140.12333
2013年度,12000,千葉県,2179806,35.60472,140.12333
2014年度,12000,千葉県,2136263,35.60472,140.12333
2015年度,12000,千葉県,2120485,35.60472,140.12333
2016年度,12000,千葉県,2094316,35.60472,140.12333
2017年度,12000,千葉県,2074990,35.60472,140.12333
2018年度,12000,千葉県,2064300,35.60472,140.12333
2019年度,12000,千葉県,2092336,35.60472,140.12333
1999年度,13000,東京都,5105036,35.68944,139.69167
2000年度,13000,東京都,5212892,35.68944,139.69167
2001年度,13000,東京都,5239816,35.68944,139.69167
2002年度,13000,東京都,5203183,35.68944,139.69167
2003年度,13000,東京都,5172239,35.68944,139.69167
2004年度,13000,東京都,5046798,35.68944,139.69167
2005年度,13000,東京都,5336840,35.68944,139.69167
2006年度,13000,東京都,5281029,35.68944,139.69167
2007年度,13000,東京都,5131706,35.68944,139.69167
2008年度,13000,東京都,4916151,35.68944,139.69167
2009年度,13000,東京都,4756639,35.68944,139.69167
2010年度,13000,東京都,4650318,35.68944,139.69167
2011年度,13000,東京都,4608412,35.68944,139.69167
2012年度,13000,東京都,4581633,35.68944,139.69167
2013年度,13000,東京都,4572285,35.68944,139.69167
2014年度,13000,東京都,4513509,35.68944,139.69167
2015年度,13000,東京都,4501160,35.68944,139.69167
2016年度,13000,東京都,4428042,35.68944,139.69167
2017年度,13000,東京都,4417184,35.68944,139.69167
2018年度,13000,東京都,4383468,35.68944,139.69167
2019年度,13000,東京都,4407607,35.68944,139.69167
1999年度,14000,神奈川県,3520545,35.44778,139.6425
2000年度,14000,神奈川県,3624306,35.44778,139.6425
2001年度,14000,神奈川県,3601884,35.44778,139.6425
2002年度,14000,神奈川県,3601675,35.44778,139.6425
2003年度,14000,神奈川県,3559984,35.44778,139.6425
2004年度,14000,神奈川県,3298601,35.44778,139.6425
2005年度,14000,神奈川県,3467102,35.44778,139.6425
2006年度,14000,神奈川県,3438499,35.44778,139.6425
2007年度,14000,神奈川県,3337417,35.44778,139.6425
2008年度,14000,神奈川県,3209405,35.44778,139.6425
