時点,地域コード,地域,ごみ総排出量（総量）【ｔ】,緯度,軽度
1999年度,19000,山梨県,313041,35.664,138.568
2000年度,19000,山梨県,324994,35.664,138.568
2001年度,19000,山梨県,328906,35.664,138.568
2002年度,19000,山梨県,332440,35.664,138.568
2003年度,19000,山梨県,333758,35.664,138.568
2004年度,19000,山梨県,332690,35.664,138.568
2005年度,19000,山梨県,347411,35.664,138.568
2006年度,19000,山梨県,349458,35.664,138.568
2007年度,19000,山梨県,339311,35.664,138.568
2008年度,19000,山梨県,324635,35.664,138.568
2009年度,19000,山梨県,320496,35.664,138.568
2010年度,19000,山梨県,315915,35.664,138.568
2011年度,19000,山梨県,316295,35.664,138.568
2012年度,19000,山梨県,314192,35.664,138.568
2013年度,19000,山梨県,310438,35.664,138.568
2014年度,19000,山梨県,310682,35.664,138.568
2015年度,19000,山梨県,311035,35.664,138.568
2016年度,19000,山梨県,306318,35.664,138.568
2017年度,19000,山梨県,296717,35.664,138.568
2018年度,19000,山梨県,299168,35.664,138.568
2019年度,19000,山梨県,298771,35.664,138.568
1999年度,20000,長野県,761891,"	36.651",138.181
2000年度,20000,長野県,798820,"	36.652",139.181
2001年度,20000,長野県,831003,"	36.653",140.181
2002年度,20000,長野県,831450,"	36.654",141.181
2003年度,20000,長野県,812332,"	36.655",142.181
2004年度,20000,長野県,791070,"	36.656",143.181
2005年度,20000,長野県,790265,"	36.657",144.181
2006年度,20000,長野県,777255,"	36.658",145.181
2007年度,20000,長野県,760233,"	36.659",146.181
2008年度,20000,長野県,721684,"	36.660",147.181
2009年度,20000,長野県,698859,"	36.661",148.181
2010年度,20000,長野県,679861,"	36.662",149.181
2011年度,20000,長野県,683249,"	36.663",150.181
2012年度,20000,長野県,681372,"	36.664",151.181
2013年度,20000,長野県,667111,"	36.665",152.181
2014年度,20000,長野県,657316,"	36.666",153.181
2015年度,20000,長野県,653520,"	36.667",154.181
2016年度,20000,長野県,637955,"	36.668",155.181
2017年度,20000,長野県,630254,"	36.669",156.181
2018年度,20000,長野県,621829,"	36.670",157.181
2019年度,20000,長野県,623271,"	36.671",158.181
1999年度,16000,富山県,385185,36.695,137.211
2000年度,16000,富山県,396878,36.695,137.211
2001年度,16000,富山県,398244,36.695,137.211
2002年度,16000,富山県,395373,36.695,137.211
2003年度,16000,富山県,400688,36.695,137.211
2004年度,16000,富山県,403686,36.695,137.211
2005年度,16000,富山県,435959,36.695,137.211
2006年度,16000,富山県,436112,36.695,137.211
2007年度,16000,富山県,418756,36.695,137.211
2008年度,16000,富山県,407158,36.695,137.211
2009年度,16000,富山県,388737,36.695,137.211
2010年度,16000,富山県,382715,36.695,137.211
2011年度,16000,富山県,402292,36.695,137.211
2012年度,16000,富山県,410709,36.695,137.211
2013年度,16000,富山県,405329,36.695,137.211
2014年度,16000,富山県,413128,36.695,137.211
2015年度,16000,富山県,410200,36.695,137.211
2016年度,16000,富山県,407807,36.695,137.211
2017年度,16000,富山県,407705,36.695,137.211
2018年度,16000,富山県,406000,36.695,137.211
2019年度,16000,富山県,404812,36.695,137.211
1999年度,17000,石川県,483528,36.595,136.626
2000年度,17000,石川県,492525,36.595,136.626
2001年度,17000,石川県,480324,36.595,136.626
2002年度,17000,石川県,485579,36.595,136.626
2003年度,17000,石川県,487782,36.595,136.626
2004年度,17000,石川県,476972,36.595,136.626
2005年度,17000,石川県,495160,36.595,136.626
2006年度,17000,石川県,496778,36.595,136.626
2007年度,17000,石川県,732407,36.595,136.626
2008年度,17000,石川県,468518,36.595,136.626
2009年度,17000,石川県,431058,36.595,136.626
2010年度,17000,石川県,423800,36.595,136.626
2011年度,17000,石川県,424914,36.595,136.626
2012年度,17000,石川県,422358,36.595,136.626
2013年度,17000,石川県,422364,36.595,136.626
2014年度,17000,石川県,417629,36.595,136.626
2015年度,17000,石川県,421269,36.595,136.626
2016年度,17000,石川県,414689,36.595,136.626
2017年度,17000,石川県,406653,36.595,136.626
2018年度,17000,石川県,393629,36.595,136.626
2019年度,17000,石川県,389383,36.595,136.626
1999年度,18000,福井県,284616,36.065,136.222
2000年度,18000,福井県,298043,36.065,136.222
2001年度,18000,福井県,299829,36.065,136.222
2002年度,18000,福井県,299249,36.065,136.222
2003年度,18000,福井県,294430,36.065,136.222
2004年度,18000,福井県,303165,36.065,136.222
2005年度,18000,福井県,318447,36.065,136.222
2006年度,18000,福井県,319396,36.065,136.222
2007年度,18000,福井県,308524,36.065,136.222
2008年度,18000,福井県,294392,36.065,136.222
2009年度,18000,福井県,289680,36.065,136.222
2010年度,18000,福井県,286004,36.065,136.222
2011年度,18000,福井県,290136,36.065,136.222
2012年度,18000,福井県,289940,36.065,136.222
2013年度,18000,福井県,285639,36.065,136.222
2014年度,18000,福井県,280103,36.065,136.222
2015年度,18000,福井県,277789,36.065,136.222
2016年度,18000,福井県,278184,36.065,136.222
2017年度,18000,福井県,283318,36.065,136.222
2018年度,18000,福井県,287646,36.065,136.222
2019年度,18000,福井県,275483,36.065,136.222
1999年度,21000,岐阜県,693235,35.391,136.722
2000年度,21000,岐阜県,708754,35.391,136.722
2001年度,21000,岐阜県,728570,35.391,136.722
2002年度,21000,岐阜県,732158,35.391,136.722
2003年度,21000,岐阜県,732019,35.391,136.722
2004年度,21000,岐阜県,734156,35.391,136.722
2005年度,21000,岐阜県,807372,35.391,136.722
2006年度,21000,岐阜県,812943,35.391,136.722
2007年度,21000,岐阜県,789681,35.391,136.722
2008年度,21000,岐阜県,767948,35.391,136.722
2009年度,21000,岐阜県,736104,35.391,136.722
2010年度,21000,岐阜県,711888,35.391,136.722
2011年度,21000,岐阜県,711122,35.391,136.722
2012年度,21000,岐阜県,702404,35.391,136.722
2013年度,21000,岐阜県,696217,35.391,136.722
2014年度,21000,岐阜県,680621,35.391,136.722
