count1,count2
52,一般内科
42,一般内科
62,一般内科
47,一般内科
22,一般内科
52,一般内科
52,一般内科
52,一般内科
27,一般内科
52,一般内科
37,一般内科
62,一般内科
47,一般内科
92,一般内科
37,一般内科
72,一般内科
32,一般内科
67,一般内科
57,一般内科
52,一般内科
52,一般内科
62,一般内科
52,一般内科
67,一般内科
62,一般内科
57,一般内科
62,一般内科
42,一般内科
57,一般内科
72,一般内科
47,一般内科
57,一般内科
42,一般内科
52,一般内科
62,一般内科
77,一般内科
57,一般内科
37,一般内科
32,一般内科
42,一般内科
42,一般内科
27,一般内科
37,一般内科
62,一般内科
57,一般内科
57,一般内科
37,一般内科
52,一般内科
62,一般内科
67,一般内科
62,一般内科
57,一般内科
82,一般内科
72,一般内科
47,一般内科
62,一般内科
77,一般内科
62,一般内科
37,一般内科
42,一般内科
62,一般内科
57,一般内科
77,一般内科
57,一般内科
47,一般内科
62,一般内科
52,一般内科
52,一般内科
47,一般内科
82,一般内科
62,一般内科
52,一般内科
52,一般内科
42,一般内科
52,一般内科
62,一般内科
77,一般内科
32,一般内科
52,一般内科
67,一般内科
32,一般内科
72,一般内科
57,一般内科
27,一般内科
82,一般内科
67,一般内科
62,一般内科
27,一般内科
62,一般内科
57,一般内科
42,一般内科
47,一般内科
67,一般内科
52,一般内科
52,一般内科
32,一般内科
27,一般内科
62,一般内科
32,一般内科
32,一般内科
47,一般内科
67,一般内科
47,一般内科
47,一般内科
57,一般内科
47,一般内科
32,一般内科
42,一般内科
57,一般内科
52,一般内科
52,一般内科
47,一般内科
62,一般内科
62,一般内科
67,一般内科
57,一般内科
62,一般内科
32,一般内科
82,一般内科
57,一般内科
62,一般内科
62,一般内科
52,一般内科
57,一般内科
67,一般内科
67,一般内科
72,一般内科
62,一般内科
57,一般内科
57,一般内科
52,一般内科
67,一般内科
62,一般内科
42,一般内科
62,一般内科
67,一般内科
47,一般内科
72,一般内科
52,一般内科
47,一般内科
82,一般内科
57,一般内科
47,一般内科
27,一般内科
62,一般内科
52,一般内科
72,一般内科
82,一般内科
77,一般内科
52,一般内科
62,一般内科
57,一般内科
47,一般内科
27,一般内科
57,一般内科
62,一般内科
82,一般内科
77,一般内科
62,一般内科
62,一般内科
42,一般内科
62,一般内科
42,一般内科
47,一般内科
42,一般内科
47,一般内科
67,一般内科
62,一般内科
62,一般内科
42,一般内科
52,一般内科
37,一般内科
72,一般内科
62,一般内科
72,一般内科
67,一般内科
82,一般内科
57,一般内科
62,一般内科
72,一般内科
52,一般内科
62,一般内科
62,一般内科
77,一般内科
72,一般内科
57,一般内科
27,一般内科
67,一般内科
52,一般内科
82,一般内科
52,一般内科
47,一般内科
67,一般内科
72,一般内科
57,一般内科
62,一般内科
72,一般内科
62,一般内科
57,一般内科
27,一般内科
57,一般内科
37,一般内科
42,一般内科
52,一般内科
52,一般内科
82,一般内科
47,一般内科
72,一般内科
57,一般内科
42,一般内科
62,一般内科
57,一般内科
57,一般内科
52,一般内科
67,一般内科
67,一般内科
52,一般内科
67,一般内科
77,一般内科
57,一般内科
47,一般内科
27,一般内科
37,一般内科
32,一般内科
57,一般内科
62,一般内科
42,一般内科
57,一般内科
37,一般内科
57,一般内科
32,一般内科
77,一般内科
57,一般内科
47,一般内科
67,一般内科
62,一般内科
77,一般内科
77,一般内科
62,一般内科
77,一般内科
52,一般内科
47,一般内科
57,一般内科
42,一般内科
47,一般内科
82,一般内科
57,一般内科
52,一般内科
32,一般内科
47,一般内科
52,一般内科
82,一般内科
42,一般内科
52,一般内科
42,一般内科
62,一般内科
67,一般内科
42,一般内科
42,一般内科
57,一般内科
52,一般内科
62,一般内科
82,一般内科
37,一般内科
47,一般内科
52,一般内科
47,一般内科
47,一般内科
62,一般内科
57,一般内科
77,一般内科
47,一般内科
57,一般内科
42,一般内科
57,一般内科
67,一般内科
57,一般内科
67,一般内科
67,一般内科
47,一般内科
57,一般内科
32,一般内科
47,一般内科
52,一般内科
47,一般内科
57,一般内科
52,一般内科
67,一般内科
67,一般内科
67,一般内科
67,一般内科
67,一般内科
72,一般内科
67,一般内科
62,一般内科
67,一般内科
72,一般内科
37,一般内科
52,一般内科
32,一般内科
72,一般内科
57,一般内科
62,一般内科
52,一般内科
82,一般内科
57,一般内科
37,一般内科
42,一般内科
47,一般内科
47,一般内科
47,一般内科
52,一般内科
27,一般内科
72,一般内科
62,一般内科
52,一般内科
62,一般内科
72,一般内科
62,一般内科
67,一般内科
72,一般内科
32,一般内科
72,一般内科
52,一般内科
72,一般内科
57,一般内科
37,一般内科
57,一般内科
62,一般内科
62,一般内科
47,一般内科
62,一般内科
72,一般内科
57,一般内科
67,一般内科
57,一般内科
62,一般内科
57,一般内科
42,一般内科
62,一般内科
62,一般内科
42,一般内科
32,一般内科
42,一般内科
47,一般内科
47,一般内科
72,一般内科
57,一般内科
57,一般内科
27,一般内科
42,一般内科
67,一般内科
77,一般内科
42,一般内科
57,一般内科
62,一般内科
57,一般内科
77,一般内科
67,一般内科
52,一般内科
72,一般内科
62,一般内科
32,一般内科
57,一般内科
27,一般内科
27,一般内科
62,一般内科
67,一般内科
62,一般内科
57,一般内科
42,一般内科
52,一般内科
67,一般内科
62,一般内科
57,一般内科
57,一般内科
