県名,緯度,経度
北海道,43.06417,141.34694
青森県,40.82444,140.74
岩手県,39.70361,141.1525
宮城県,38.26889,140.87194
秋田県,39.71861,140.1025
山形県,38.24056,140.36333
福島県,37.75,140.46778
茨城県,36.34139,140.44667
栃木県,36.56583,139.88361
群馬県,36.39111,139.06083
埼玉県,35.85694,139.64889
千葉県,35.60472,140.12333
東京都,35.68944,139.69167
神奈川県,35.44778,139.6425
新潟県,37.90222,139.02361
山梨県,35.664,138.568
長野県,"	36.671",158.181
富山県,36.695,137.211
石川県,36.595,136.626
福井県,36.065,136.222
岐阜県,35.391,136.722
静岡県,34.977,138.383
愛知県,35.18,136.907
三重県,34.73,136.509
滋賀県,35.005,135.869
京都府,35.021,135.756
大阪府,34.686,135.52
兵庫県,"	34.691",135.183
奈良県,34.685,135.833
和歌山県,34.227,135.167
鳥取県,35.504,134.238
島根県,35.504,134.238
岡山県,"	34.662",133.934
広島県,34.397,132.46
山口県,34.186,131.471
徳島県,34.066,134.559
香川県,34.34,134.043
愛媛県,33.842,132.766
高知県,33.56,133.531
福岡県,33.607,130.418
佐賀県,33.249,130.3
長崎県,32.745,129.874
熊本県,32.79,130.742
大分県,33.238,131.613
宮崎県,31.911,131.424
鹿児島県,31.56,130.558
沖縄県,26.212,127.681
